ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P691,1689,1542,1230,1881,1615,1460,1407,1591,1656,1537,1565,1578
P692,5995,6087,5501,5497,5968,6073,5389,5727,5503,5774,5860,5835
P693,48,119,149,107,51,29,111,11,26,73,179,27
P694,1622,1360,1774,1619,1507,1317,1796,1623,1808,1735,1827,1573
P695,1326,1422,1308,1488,1599,1212,1430,1831,1703,1907,1725,1648
P696,1686,1609,1432,1909,1704,1775,1624,1400,1409,1350,1604,1323
P697,317,263,279,132,201,267,273,260,400,366,221,212
P698,2788,2577,1857,2855,2714,2416,2933,2648,2339,2647,2375,2506
P699,2834,2648,2104,2894,2771,2634,2662,2594,2533,2784,2435,2544
P7,15,13,0,0,24,13,0,18,0,12,15,22
P70,29,93,3145,2942,70,94,3398,78,142,86,81,64
P700,1343,1390,1090,1425,1297,1094,1368,1128,1328,1535,1233,1464
P701,511,543,381,663,574,573,537,532,589,388,413,421
P702,108,228,90,121,176,105,78,335,385,335,321,379
P703,42,134,881,1385,102,135,946,113,201,124,117,92
P704,2134,2328,2158,1929,2327,2160,2091,2418,2026,2258,2357,1946
P705,1665,1372,1550,1807,1618,1519,1393,1350,1623,1595,1666,1548
P706,5455,5176,5798,4512,5596,5911,5118,5385,4784,5124,5338,5309
